x,y,t,d,dt,v,a
105,124,0,0,0,0,0
111,117,3.928,9.2195444573,3.928,2.347134536,2.347134536
110,113,4.185,4.1231056256,0.257,16.043212551,13.6960780151
106,111,4.754,4.472135955,0.569,7.8596413972,8.1835711539
102,111,5.226,4,0.472,8.4745762712,0.614934874
98,115,5.534,5.6568542495,0.308,18.3664099009,9.8918336298
94,118,5.971,5,0.437,11.4416475973,6.9247623037
90,121,6.163,5,0.192,26.0416666667,14.6000190694
89,125,6.363,4.1231056256,0.2,20.6155281281,5.4261385386
88,129,6.556,4.1231056256,0.193,21.3632415835,0.7477134554
88,133,6.796,4,0.24,16.6666666667,4.6965749168
89,137,7.262,4.1231056256,0.466,8.8478661494,7.8188005173
92,141,7.518,5,0.256,19.53125,10.6833838506
96,144,7.695,5,0.177,28.2485875706,8.7173375706
100,147,8.04,5,0.345,14.4927536232,13.7558339474
104,147,8.441,4,0.401,9.9750623441,4.517691279
108,147,8.577,4,0.136,29.4117647059,19.4367023617
112,147,8.778,4,0.201,19.9004975124,9.5112671934
116,147,9.074,4,0.296,13.5135135135,6.3869839989
120,146,9.527,4.1231056256,0.453,9.101778423,4.4117350905
124,143,9.75,5,0.223,22.4215246637,13.3197462407
128,141,9.878,4.472135955,0.128,34.9385621484,12.5170374848
132,138,9.99,5,0.112,44.6428571429,9.7042949944
136,134,10.224,5.6568542495,0.234,24.1745908098,20.4682663331
139,130,10.465,5,0.241,20.7468879668,3.427702843
141,125,10.634,5.3851648071,0.169,31.8648805156,11.1179925488
144,121,10.745,5,0.111,45.045045045,13.1801645295
145,116,10.867,5.0990195136,0.122,41.7952419147,3.2498031304
144,111,10.946,5.0990195136,0.079,64.544550805,22.7493088903
143,107,11.059,4.1231056256,0.113,36.4876604037,28.0568904013
142,104,11.147,3.1622776602,0.088,35.934973411,0.5526869927
140,100,11.323,4.472135955,0.176,25.4098633807,10.5251100303
137,96,11.476,5,0.153,32.6797385621,7.2698751814
133,94,11.595,4.472135955,0.119,37.5809744118,4.9012358497
129,91,11.71,5,0.115,43.4782608696,5.8972864578
125,88,11.803,5,0.093,53.7634408602,10.2851799907
122,86,11.868,3.6055512755,0.065,55.4700196225,1.7065787623
118,84,12.077,4.472135955,0.209,21.397779689,34.0722399335
113,82,12.206,5.3851648071,0.129,41.7454636212,20.3476839322
109,82,12.324,4,0.118,33.8983050847,7.8471585365
105,82,12.512,4,0.188,21.2765957447,12.6217093401
101,81,12.608,4.1231056256,0.096,42.9490169335,21.6724211888
97,81,12.695,4,0.087,45.9770114943,3.0279945607
93,81,12.852,4,0.157,25.4777070064,20.4993044879
89,83,12.977,4.472135955,0.125,35.77708764,10.2993806336
84,84,13.073,5.0990195136,0.096,53.1147865999,17.3376989599
80,84,13.21,4,0.137,29.197080292,23.917706308
76,85,13.291,4.1231056256,0.081,50.9025385879,21.7054582959
72,87,13.444,4.472135955,0.153,29.2296467647,21.6728918232
68,91,13.589,5.6568542495,0.145,39.0127879275,9.7831411628
65,94,13.716,4.2426406871,0.127,33.4066195836,5.6061683439
63,97,13.772,3.6055512755,0.056,64.3848442047,30.9782246211
60,100,13.908,4.2426406871,0.136,31.1958874053,33.1889567994
56,103,14.061,5,0.153,32.6797385621,1.4838511568
54,108,14.229,5.3851648071,0.168,32.0545524234,0.6251861387
52,112,14.405,4.472135955,0.176,25.4098633807,6.6446890427
51,116,14.485,4.1231056256,0.08,51.5388203202,26.1289569395
50,121,14.64,5.0990195136,0.155,32.8969000877,18.6419202325
50,125,14.749,4,0.109,36.6972477064,3.8003476187
51,129,14.837,4.1231056256,0.088,46.8534730184,10.156225312
51,132,14.885,3,0.048,62.5,15.6465269816
51,136,15.109,4,0.224,17.8571428571,44.6428571429
51,141,15.189,5,0.08,62.5,44.6428571429
51,145,15.389,4,0.2,20,42.5
54,150,15.541,5.8309518948,0.152,38.361525624,18.361525624
56,154,15.772,4.472135955,0.231,19.3598959091,19.0016297149
59,158,15.909,5,0.137,36.496350365,17.1364544559
61,161,15.997,3.6055512755,0.088,40.9721735848,4.4758232199
64,165,16.093,5,0.096,52.0833333333,11.1111597485
67,169,16.228,5,0.135,37.037037037,15.0462962963
70,171,16.285,3.6055512755,0.057,63.2552855345,26.2182484974
74,173,16.605,4.472135955,0.32,13.9754248594,49.2798606751
76,176,16.726,3.6055512755,0.121,29.7979444253,15.8225195659
80,178,16.997,4.472135955,0.271,16.5023466974,13.2955977279
84,179,17.617,4.1231056256,0.62,6.6501703639,9.8521763335
88,178,17.778,4.1231056256,0.161,25.6093517119,18.959181348
92,179,17.893,4.1231056256,0.115,35.8530923967,10.2437406848
96,179,18.987,4,1.094,3.6563071298,32.1967852669
85,182,20.584,11.401754251,1.597,7.1394829374,3.4831758076
89,183,20.728,4.1231056256,0.144,28.6326779557,21.4931950183
92,184,20.776,3.1622776602,0.048,65.8807845868,37.2481066312
96,185,20.864,4.1231056256,0.088,46.8534730184,19.0273115685
100,186,20.955,4.1231056256,0.091,45.3088530288,1.5446199896
104,186,21.04,4,0.085,47.0588235294,1.7499705006
109,186,21.168,5,0.128,39.0625,7.9963235294
113,186,21.353,4,0.185,21.6216216216,17.4408783784
117,184,21.492,4.472135955,0.139,32.173639964,10.5520183424
121,181,21.562,5,0.07,71.4285714286,39.2549314645
125,180,21.684,4.1231056256,0.122,33.795947751,37.6326236776
129,178,21.794,4.472135955,0.11,40.6557814091,6.8598336581
133,178,21.857,4,0.063,63.4920634921,22.836282083
137,177,21.938,4.1231056256,0.081,50.9025385879,12.5895249042
141,175,22.026,4.472135955,0.088,50.8197267614,0.0828118265
145,173,22.394,4.472135955,0.368,12.152543356,38.6671834054
148,172,22.442,3.1622776602,0.048,65.8807845868,53.7282412309
152,170,22.501,4.472135955,0.059,75.7989144915,9.9181299047
157,167,22.612,5.8309518948,0.111,52.5310981518,23.2678163398
161,165,22.658,4.472135955,0.046,97.2203468478,44.6892486961
165,162,22.801,5,0.143,34.965034965,62.2553118828
169,159,22.882,5,0.081,61.7283950617,26.7633600967
173,155,22.938,5.6568542495,0.056,101.0152544552,39.2868593935
177,152,23.026,5,0.088,56.8181818182,44.197072637
181,148,23.21,5.6568542495,0.184,30.7437730951,26.0744087231
183,144,23.334,4.472135955,0.124,36.0656125403,5.3218394453
185,139,23.402,5.3851648071,0.068,79.1936001049,43.1279875646
187,135,23.499,4.472135955,0.097,46.1044943814,33.0891057235
189,131,23.594,4.472135955,0.095,47.0751153158,0.9706209343
189,128,23.646,3,0.052,57.6923076923,10.6171923765
191,122,23.77,6.3245553203,0.124,51.0044783898,6.6878293025
191,119,23.787,3,0.017,176.4705882353,125.4661098455
192,115,23.868,4.1231056256,0.081,50.9025385879,125.5680496474
192,111,24.075,4,0.207,19.3236714976,31.5788670903
